Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA257,   0.647882,   -28.50,   0.647855,  -148.50,   0.647857,    91.50,          0,     0.00, 5.89331E-005,   -30.70,    0.64827,   151.44,    0.64825,    31.44,   0.648252,   -88.56,          0,     0.00, 4.41998E-005,   149.30
Line.LINHA258,    0.64827,   -28.56,    0.64825,  -148.56,   0.648252,    91.44,          0,     0.00, 4.41999E-005,   -30.70,    0.64866,   151.37,   0.648647,    31.38,   0.648648,   -88.63,          0,     0.00, 2.94666E-005,   149.30
Line.LINHA259,    0.64866,   -28.63,   0.648647,  -148.62,   0.648648,    91.37,          0,     0.00, 2.94666E-005,   -30.70,   0.649051,   151.31,   0.649044,    31.31,   0.649045,   -88.69,          0,     0.00, 1.47332E-005,   149.30
Line.LINHA260,   0.649051,   -28.69,   0.649044,  -148.69,   0.649045,    91.31,          0,     0.00, 1.47332E-005,   -30.70,   0.649442,   151.25,   0.649443,    31.25,   0.649442,   -88.75,          0,     0.00, 3.63798E-011,    53.13
Line.LINHA261,    49.3417,   -28.66,    49.3397,  -148.66,    49.3399,    91.33,          0,     0.00, 0.00449921,   -30.74,    49.3421,   151.33,    49.3401,    31.34,    49.3403,   -88.67,          0,     0.00, 0.00448448,   149.26
Line.LINHA262,    49.3421,   -28.67,    49.3401,  -148.66,    49.3403,    91.33,          0,     0.00, 0.00448448,   -30.74,    49.3425,   151.33,    49.3405,    31.34,    49.3407,   -88.67,          0,     0.00, 0.00446975,   149.26
Line.LINHA263,    49.3425,   -28.67,    49.3405,  -148.66,    49.3407,    91.33,          0,     0.00, 0.00446975,   -30.74,    49.3429,   151.33,    49.3409,    31.33,    49.3411,   -88.67,          0,     0.00, 0.00445502,   149.26
Line.LINHA264,    49.3429,   -28.67,    49.3409,  -148.67,    49.3411,    91.33,          0,     0.00, 0.00445502,   -30.74,    49.3433,   151.33,    49.3413,    31.33,    49.3414,   -88.67,          0,     0.00, 0.00444029,   149.26
Line.LINHA265,    48.2602,   -28.67,    48.2582,  -148.66,    48.2584,    91.33,          0,     0.00, 0.00444029,   -30.74,    48.2606,   151.33,    48.2586,    31.34,    48.2588,   -88.67,          0,     0.00, 0.00442557,   149.26
Line.LINHA266,    48.2606,   -28.67,    48.2586,  -148.66,    48.2588,    91.33,          0,     0.00, 0.00442557,   -30.74,     48.261,   151.33,     48.259,    31.33,    48.2592,   -88.67,          0,     0.00, 0.00441085,   149.26
