Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2009", 13.8, 1,    7933.21,   -0.1,    0.9957, 2,    7933.24, -120.1,   0.99571, 3,    7933.23,  119.9,   0.99571
"2010", 13.8, 1,    7930.63,   -0.1,   0.99538, 2,    7930.65, -120.1,   0.99538, 3,    7930.65,  119.9,   0.99538
"2011", 13.8, 1,    7928.04,   -0.1,   0.99506, 2,    7928.07, -120.1,   0.99506, 3,    7928.07,  119.9,   0.99506
"2013", 13.8, 1,    7922.89,   -0.1,   0.99441, 2,    7922.92, -120.1,   0.99441, 3,    7922.92,  119.9,   0.99441
"2014", 13.8, 1,    7921.59,   -0.1,   0.99425, 2,    7921.62, -120.1,   0.99425, 3,    7921.62,  119.9,   0.99425
"2015", 13.8, 1,    7920.28,   -0.1,   0.99408, 2,    7920.32, -120.1,   0.99409, 3,    7920.31,  119.9,   0.99409
"2016", 13.8, 1,    7918.98,   -0.1,   0.99392, 2,    7919.01, -120.1,   0.99392, 3,    7919.01,  119.9,   0.99392
"2017", 13.8, 1,    7917.67,   -0.1,   0.99375, 2,    7917.71, -120.1,   0.99376, 3,     7917.7,  119.9,   0.99376
"2019", 13.8, 1,    7915.08,   -0.1,   0.99343, 2,    7915.12, -120.1,   0.99343, 3,    7915.11,  119.9,   0.99343
"2020", 13.8, 1,    7913.79,   -0.1,   0.99327, 2,    7913.83, -120.1,   0.99327, 3,    7913.83,  119.9,   0.99327
"2021", 13.8, 1,     7912.5,   -0.1,   0.99311, 2,    7912.54, -120.1,   0.99311, 3,    7912.54,  119.9,   0.99311
"2022", 13.8, 1,    7911.22,   -0.1,   0.99294, 2,    7911.26, -120.1,   0.99295, 3,    7911.25,  119.9,   0.99295
"2023", 13.8, 1,    7909.93,   -0.1,   0.99278, 2,    7909.97, -120.1,   0.99279, 3,    7909.96,  119.9,   0.99279
"2024", 13.8, 1,    7908.64,   -0.1,   0.99262, 2,    7908.68, -120.1,   0.99263, 3,    7908.68,  119.9,   0.99263
"2025", 13.8, 1,    7907.35,   -0.1,   0.99246, 2,    7907.39, -120.1,   0.99246, 3,    7907.39,  119.9,   0.99246
"2026", 13.8, 1,    7906.06,   -0.1,    0.9923, 2,    7906.11, -120.1,    0.9923, 3,     7906.1,  119.9,    0.9923
"2027", 13.8, 1,    7904.77,   -0.1,   0.99214, 2,    7904.82, -120.1,   0.99214, 3,    7904.81,  119.9,   0.99214
"2028", 13.8, 1,    7903.48,   -0.1,   0.99197, 2,    7903.53, -120.1,   0.99198, 3,    7903.52,  119.9,   0.99198
"2029", 13.8, 1,     7902.2,   -0.1,   0.99181, 2,    7902.24, -120.1,   0.99182, 3,    7902.24,  119.9,   0.99182
