Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINHA233, 0.00331536,    89.89, 0.00334938,   -29.89, 0.00331413,  -149.61,          0,     0.00, 5.93802E-005,   -30.49, 0.00248652,   -90.11, 0.00251203,   150.11,  0.0024856,    30.39,          0,     0.00, 4.45352E-005,   149.51
Line.LINHA234, 0.00248652,    89.89, 0.00251203,   -29.89,  0.0024856,  -149.61,          0,     0.00, 4.45351E-005,   -30.49, 0.00165768,   -90.11, 0.00167469,   150.11, 0.00165707,    30.39,          0,     0.00, 2.969E-005,   149.51
Line.LINHA235, 0.00165768,    89.89, 0.00167469,   -29.89, 0.00165707,  -149.61,          0,     0.00, 2.96901E-005,   -30.49, 0.000828839,   -90.11, 0.000837344,   150.11, 0.000828533,    30.39,          0,     0.00, 1.48451E-005,   149.51
Line.LINHA236, 0.000828839,    89.89, 0.000837344,   -29.89, 0.000828533,  -149.61,          0,     0.00, 1.4845E-005,   -30.49, 2.93303E-011,   -82.87, 9.20344E-011,    18.43, 4.1159E-011,  -135.00,          0,     0.00, 6.83514E-011,   -25.20
Line.LINHA237,    51.0842,   -28.57,     51.082,  -148.57,    51.0822,    91.43,          0,     0.00,   0.004837,   -30.62,    51.0846,   151.43,    51.0824,    31.43,    51.0826,   -88.57,          0,     0.00, 0.00482218,   149.38
Line.LINHA238,    51.0846,   -28.57,    51.0824,  -148.57,    51.0826,    91.43,          0,     0.00, 0.00482218,   -30.62,     51.085,   151.43,    51.0828,    31.43,     51.083,   -88.58,          0,     0.00, 0.00480737,   149.38
Line.LINHA239,     51.085,   -28.57,    51.0828,  -148.57,     51.083,    91.42,          0,     0.00, 0.00480737,   -30.62,    51.0854,   151.43,    51.0832,    31.43,    51.0834,   -88.58,          0,     0.00, 0.00479255,   149.38
Line.LINHA240,    51.0854,   -28.57,    51.0832,  -148.57,    51.0834,    91.42,          0,     0.00, 0.00479255,   -30.62,    51.0858,   151.42,    51.0836,    31.43,    51.0838,   -88.58,          0,     0.00, 0.00477774,   149.38
Line.LINHA241,    51.0858,   -28.58,    51.0836,  -148.57,    51.0838,    91.42,          0,     0.00, 0.00477774,   -30.62,    51.0862,   151.42,     51.084,    31.43,    51.0842,   -88.58,          0,     0.00, 0.00476292,   149.38
Line.LINHA242,    51.0862,   -28.58,     51.084,  -148.57,    51.0842,    91.42,          0,     0.00, 0.00476292,   -30.62,    51.0866,   151.42,    51.0844,    31.43,    51.0846,   -88.58,          0,     0.00, 0.00474812,   149.38
Line.LINHA243,    51.0866,   -28.58,    51.0844,  -148.57,    51.0846,    91.42,          0,     0.00, 0.00474812,   -30.62,     51.087,   151.42,    51.0848,    31.42,     51.085,   -88.58,          0,     0.00, 0.00473331,   149.38
Line.LINHA244,    50.4404,   -28.58,    50.4382,  -148.57,    50.4384,    91.42,          0,     0.00, 0.00473331,   -30.62,    50.4408,   151.42,    50.4386,    31.42,    50.4388,   -88.58,          0,     0.00, 0.00471851,   149.38
